sample_id,policy,v,d,design_stratum,threshold_region,expected_action,observed_action,optimal_action,utility_regret,certificate_valid,probabilistic_certificate_valid
phase1-011-broad_grid,dupoc,2.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-012-just_safe,dupoc,2.25,2.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-013-exact_boundary,dupoc,2.5,2.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-014-just_unsafe,dupoc,2.75,2.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-015-broad_grid,dupoc,4.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-016-broad_grid,dupoc,4.0,2.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-017-broad_grid,dupoc,4.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-018-broad_grid,dupoc,4.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-019-broad_grid,dupoc,4.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-020-just_safe,dupoc,4.75,4.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-021-exact_boundary,dupoc,5.0,4.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-022-just_unsafe,dupoc,5.25,4.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-023-broad_grid,dupoc,6.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-024-broad_grid,dupoc,6.0,2.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-025-broad_grid,dupoc,6.0,4.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-026-broad_grid,dupoc,6.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-027-broad_grid,dupoc,6.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-028-just_safe,dupoc,7.25,6.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-029-exact_boundary,dupoc,7.5,6.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-030-just_unsafe,dupoc,7.75,6.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-031-broad_grid,dupoc,8.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-032-broad_grid,dupoc,8.0,2.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-033-broad_grid,dupoc,8.0,4.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-034-broad_grid,dupoc,8.0,6.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-035-broad_grid,dupoc,8.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-036-just_safe,dupoc,8.75,8.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-037-exact_boundary,dupoc,9.0,8.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-038-just_unsafe,dupoc,9.25,8.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-000-exact_boundary,cupod,0.0,0.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-001-just_unsafe,cupod,0.25,0.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
