grouping,metric,unit,row,column,mean,available_n,eligible_n
model,coordination_success,rate,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,0.71875,96,96
model,coordination_success,rate,Gemini 3 Flash Preview,Weighted mean,0.7395833333333334,384,384
model,coordination_success,rate,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,0.9270833333333334,96,96
model,coordination_success,rate,Llama 3.3 70B,Chicken — Escalation,0.6458333333333334,96,96
model,coordination_success,rate,Llama 3.3 70B,Stag Hunt — Incident response,0.8645833333333334,96,96
model,coordination_success,rate,Llama 3.3 70B,Battle of the Sexes — Protocol selection,0.5833333333333334,96,96
model,coordination_success,rate,Llama 3.3 70B,Weighted mean,0.7552083333333334,384,384
model,coordination_success,rate,Average,Prisoner's Dilemma — Deployment race,0.8958333333333334,384,384
model,coordination_success,rate,Average,Chicken — Escalation,0.6041666666666666,384,384
model,coordination_success,rate,Average,Stag Hunt — Incident response,0.8489583333333334,384,384
model,coordination_success,rate,Average,Battle of the Sexes — Protocol selection,0.6614583333333334,384,384
model,coordination_success,rate,Average,Weighted mean,0.7526041666666666,1536,1536
model,miscoordination,rate,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.15625,96,96
model,miscoordination,rate,Claude Sonnet 4.5,Chicken — Escalation,0.4479166666666667,96,96
model,miscoordination,rate,Claude Sonnet 4.5,Stag Hunt — Incident response,0.10416666666666667,96,96
model,miscoordination,rate,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,0.21875,96,96
model,miscoordination,rate,Claude Sonnet 4.5,Weighted mean,0.23177083333333334,384,384
model,miscoordination,rate,GPT-5 mini,Prisoner's Dilemma — Deployment race,0.10416666666666667,96,96
model,miscoordination,rate,GPT-5 mini,Chicken — Escalation,0.2916666666666667,96,96
model,miscoordination,rate,GPT-5 mini,Stag Hunt — Incident response,0.17708333333333334,96,96
model,miscoordination,rate,GPT-5 mini,Battle of the Sexes — Protocol selection,0.4375,96,96
model,miscoordination,rate,GPT-5 mini,Weighted mean,0.2526041666666667,384,384
model,miscoordination,rate,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,0.08333333333333333,96,96
model,miscoordination,rate,Gemini 3 Flash Preview,Chicken — Escalation,0.4895833333333333,96,96
model,miscoordination,rate,Gemini 3 Flash Preview,Stag Hunt — Incident response,0.1875,96,96
model,miscoordination,rate,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,0.28125,96,96
model,miscoordination,rate,Gemini 3 Flash Preview,Weighted mean,0.2604166666666667,384,384
model,miscoordination,rate,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,0.07291666666666667,96,96
model,miscoordination,rate,Llama 3.3 70B,Chicken — Escalation,0.3541666666666667,96,96
model,miscoordination,rate,Llama 3.3 70B,Stag Hunt — Incident response,0.13541666666666666,96,96
model,miscoordination,rate,Llama 3.3 70B,Battle of the Sexes — Protocol selection,0.4166666666666667,96,96
model,miscoordination,rate,Llama 3.3 70B,Weighted mean,0.24479166666666666,384,384
